#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169)
Smp_000340.1	Nuclear hormone receptor, ligand-binding domain	Retinoic acid receptor RXR-alpha, Peroxisome
Smp_000370.1	Selenoprotein SelK/SelG	SelK_SelG 
Smp_000390.1	Trematode Eggshell Synthesis	TES 
Smp_000420.1	NA	NA
Smp_000430.1	Trematode Eggshell Synthesis	TES 
Smp_000470.1	ATP/ADP-dependent (S)-NAD(P)H-hydrate dehydratase	Hypothetical protein TM0922, C-terminal domain {Thermotoga maritima [TaxId: 2336]}
Smp_000480.1	Proteasome component (PCI) domain	Eukaryotic translation initiation factor 3
Smp_000480.2	Proteasome component (PCI) domain	Eukaryotic translation initiation factor 3
Smp_000500.1	NA	ARAC
Smp_000510.1	Hexapeptide repeat	Mannose-1-phosphate guanyltransferase beta (E.C.2.7.7.13), Mannose-1-phosphate
Smp_000560.1	NA	NA
Smp_000580.1	NA	cilia, microtubule, dynein, motility, STRUCTURAL
Smp_000590.1	28S ribosomal protein S26	39S ribosomal protein L2, mitochondrial
Smp_000600.1	WD40 repeat	Rsa4
Smp_000620.1	Myc-type, basic helix-loop-helix (bHLH) domain	DNA-BINDING PROTEIN INHIBITOR ID-2
Smp_000630.1	Isochorismatase-like	Ribonuclease MAR1 {Leishmania donovani [TaxId: 5661]}
Smp_000640.1	SH2 domain	Growth factor receptor-bound protein 10, GRB10 {Human (Homo sapiens) [TaxId: 9606]}
Smp_000650.1	Zinc finger, RING-type	SIAH, seven in absentia homolog {Mouse (Mus musculus) [TaxId: 10090]}
Smp_000660.1	Aminotransferase class-III	Ornithine aminotransferase {Human (Homo sapiens) [TaxId: 9606]}
Smp_000670.1	Arf GTPase activating protein	Pyk2-associated protein beta ARF-GAP domain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_000680.1	Mitochondrial substrate/solute carrier	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_000690.1	POU-specific domain	Oct-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_000700.1	SET domain	Histone-lysine N-methyltransferase SMYD3 (E.C.2.1.1.43)
Smp_000710.1	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase 7 (USP7, HAUSP) {Human (Homo sapiens) [TaxId: 9606]}
Smp_000720.1	Protein kinase domain	Dual specificity mitogen-activated protein kinase kinase 1, Mek1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_000740.1	von Willebrand factor, type A	26S proteasome non-ATPase regulatory subunit
Smp_000755.1	Peptidase M13	Neutral endopeptidase (neprilysin) {Human (Homo sapiens) [TaxId: 9606]}
Smp_000770.1	NA	NA
Smp_000790.1	Zinc finger, LIM-type	Dematin {Human (Homo sapiens) [TaxId: 9606]}
Smp_000790.2	Zinc finger, LIM-type	Dematin {Human (Homo sapiens) [TaxId: 9606]}
Smp_000810.1	3'-5' ssDNA/RNA exonuclease TatD-like	Hypothetical protein TM0667 {Thermotoga maritima [TaxId: 2336]}
Smp_000820.1	NA	Snapin_Pallidin 
Smp_000820.2	NA	NA
Smp_000830.1	Homeobox domain	Msx-1 homeodomain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_000850.1	DnaJ domain	DnaJ chaperone, N-terminal (J) domain {Escherichia coli [TaxId: 562]}
Smp_000870.1	Dbl homology (DH) domain	FYVE, RhoGEF and PH domain-containing
Smp_000880.1	ATP synthase, F0 complex, subunit C	ATP synthase F(0) complex subunit
Smp_000900.1	G protein-coupled receptor, rhodopsin-like	G protein coupled receptor, T4
Smp_000910.1	Dynein-f, intermediate chain IC97/Dnai7-like	Casc1_N 
Smp_000950.1	Mab-21-like	Protein mab-21-like 1
Smp_000980.1	High mobility group box domain	PROTEIN-DNA COMPLEX, HMG BOX, amphoterin
Smp_000990.1	Exocyst complex component Sec3, C-terminal	Sec3_C 
Smp_001000.1	Universal stress protein A family	Putative ethylene-responsive protein AT3g01520/F4P13_7 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_001020.1	HhH-GPD domain	Catalytic domain of MutY {Escherichia coli [TaxId: 562]}
Smp_001030.1	CBS domain	Carbon catabolite-derepressing protein kinase (E.C.2.7.11.1)
Smp_001040.1	Kinesin motor domain	Kinesin {Neurospora crassa [TaxId: 5141]}
Smp_001070.1	G protein-coupled receptor, rhodopsin-like	Type-2 angiotensin II receptor,Soluble cytochrome
Smp_001080.1	NA	cAMP-dependent protein kinase type II regulatory subunit {Mouse (Mus musculus) [TaxId: 10090]}
Smp_001090.1	Nuclear pore protein 84/107	MGC83295 protein, Nuclear pore complex
Smp_001095.1	UBA-like superfamily	Tudor domain-containing protein 3
Smp_001100.1	EGF-type aspartate/asparagine hydroxylation site	Delta-like ligand 1
Smp_001120.1	Ribosomal protein L50, mitochondria	Mitochondrial assembly of ribosomal large
Smp_001160.1	WD40 repeat	beta1-subunit of the signal-transducing G protein heterotrimer {Cow (Bos taurus) [TaxId: 9913]}
Smp_001170.1	Proteasome component (PCI) domain	Eukaryotic translation initiation factor 3
Smp_001180.1	SNF2, N-terminal	Vacuolar protein sorting-associated protein 72
Smp_001210.1	Myosin head, motor domain	Myosin S1, motor domain {Bay scallop (Aequipecten irradians) [TaxId: 31199]}
Smp_001360.1	Thymidylate kinase	Thymidylate kinase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_001390.1	Nck-associated protein 1	Nckap1 
Smp_001410.1	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	GLYOXALASE DOMAIN-CONTAINING PROTEIN 4
Smp_001420.1	Rab-GTPase-TBC domain	RabGAP/TBC protein
Smp_001500.1	Translation Initiation factor eIF- 4e	Eukaryotic Translation Initiation Factor 4E
Smp_001530.1	Pleckstrin homology domain	Exocyst complex component SEC3, Exocyst
Smp_001560.1	Zinc finger, RING-type	EL5 RING-H2 domain {Rice (Oryza sativa) [TaxId: 4530]}
Smp_001590.1	NDUFAF3/Mth938 domain-containing protein	Hypothetical protein RPA2829 {Rhodopseudomonas palustris [TaxId: 1076]}
Smp_001610.1	Radial spokehead-like protein	Radial spoke head protein 4
Smp_001640.1	Vacuolar (H )-ATPase G subunit	V-type proton ATPase catalytic subunit
Smp_001780.1	Major facilitator superfamily associated domain	Nucleoside permease NupG
Smp_001830.1	Ribosomal protein L24e-related	thermophilic eukaryotic ribosome, 80S, rRNA
Smp_001890.1	Cysteine-rich  secretory protein-related	Cysteine-rich secretory protein (SteCRISP) {Chinese green tree viper (Trimeresurus stejnegeri) [TaxId: 39682]}
Smp_001900.1	Immunoglobulin subtype 2	Down Syndrome Cell Adhesion Molecule
Smp_001940.1	Protein-L-histidine N-pros-methyltransferase	DREV 
Smp_001950.1	NA	Claudin_2 
Smp_001960.1	Ribosomal protein L1, 3-layer alpha/beta-sandwich	Elongation factor G, mitochondrial, nascent
Smp_001980.1	Homeobox domain	Homeotic bicoid protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_002010.1	Ribosomal biogenesis, methyltransferase, EMG1/NEP1	Essential for mitotic growth 1, EMG1 {Saccharomyces cerevisiae [TaxId: 4932]}
Smp_002060.1	Cysteine-rich  secretory protein-related	Insect allergen 5 (AG5) {Yellow jacket (Vespula vulgaris), Ves v 5 [TaxId: 7454]}
Smp_002070.1	Cysteine-rich  secretory protein-related	Insect allergen 5 (AG5) {Yellow jacket (Vespula vulgaris), Ves v 5 [TaxId: 7454]}
Smp_002080.1	S-adenosylmethionine synthetase	Methionine-adenosyltransferase (E.C.2.5.1.6)
Smp_002100.1	Vesicle transport protein, Got1/SFT2-like	Got1 
Smp_002160.1	DNA methyltransferase 1-associated 1	DMAP1 
Smp_002180.1	Nascent polypeptide-associated complex NAC domain	Ribosome, SRP, NAC, nascent chain
Smp_002230.1	Pre-rRNA-processing protein Esf1	Sex-lethal protein {Drosophila melanogaster [TaxId: 7227]}
Smp_002280.1	Kinesin motor domain	Kinesin {Mouse (Mus musculus), kif2c [TaxId: 10090]}
Smp_002380.1	Ubiquitin-like domain	hypothetical D7wsu128e protein {Mouse (Mus musculus) [TaxId: 10090]}
Smp_002410.1	14-3-3 protein	zeta isoform {Cow (Bos taurus) [TaxId: 9913]}
Smp_002510.1	Transketolase-like, pyrimidine-binding domain	Pyruvate dehydrogenase E1-beta, PdhB, N-terminal domain {Bacillus stearothermophilus [TaxId: 1422]}
Smp_002550.1	RNA recognition motif domain	RNA-binding protein 8 {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_002600.1	Peptidase S28	Lysosomal Pro-X carboxypeptidase (E.C.3.4.16.2)
Smp_002600.2	Peptidase S28	Lysosomal Pro-X carboxypeptidase (E.C.3.4.16.2)
Smp_002630.1	Cysteine-rich  secretory protein-related	Insect allergen 5 (AG5) {Yellow jacket (Vespula vulgaris), Ves v 5 [TaxId: 7454]}
Smp_002640.1	Homeobox domain	Antennapedia Homeodomain {Drosophila melanogaster [TaxId: 7227]}
Smp_002740.1	NA	DUF6798 
Smp_002820.1	Zinc finger, CCCH-type	Zinc finger CCCH domain-containing protein C19orf7 (KIAA1064) {Human (Homo sapiens) [TaxId: 9606]}
Smp_002840.1	Uncharacterised protein family UPF0489	UPF0489 
Smp_002860.1	NA	NA
Smp_002870.1	TMEM115/Pdh1/Rbl19	Derlin-1
Smp_002880.1	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	ASA-2: Polytomella F-ATP synthase associated
Smp_002920.1	TRAM/LAG1/CLN8 homology domain	TRAM_LAG1_CLN8 
Smp_002950.1	SSNA1 family	Serine/threonine-protein kinase ATR (E.C.2.7.11.1), ATR-interacting
Smp_003000.1	Protein kinase domain	Cell division protein kinase 9, CDK9 {Human (Homo sapiens) [TaxId: 9606]}
Smp_003130.1	Nucleoside diphosphate pyrophosphatase	ADP-ribose pyrophosphatase homologue YffH {Escherichia coli [TaxId: 562]}
Smp_003140.1	Phox homology	Sorting nexin-1
Smp_003140.2	Phox homology	Sorting nexin-1
Smp_003190.1	Ankyrin repeat	Myotrophin {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_003230.1	BAR domain	Endophilin-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_003250.1	NA	Respiratory, Complex, ELECTRON TRANSPORT
Smp_003250.2	NA	Respiratory, Complex, ELECTRON TRANSPORT
Smp_003270.1	Ubiquitin-like domain superfamily	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_003280.1	Homeobox domain	ZF-HD homeobox protein At4g24660 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_003300.1	Serpin family	Antithrombin {Human (Homo sapiens) [TaxId: 9606]}
Smp_003330.1	SSNA1 family	DUF2408 
Smp_003340.1	Quinoprotein alcohol dehydrogenase-like superfamily	ER membrane protein complex subunit
Smp_003410.1	Ribosomal protein L23/L25, N-terminal	eL18, uL16, uL5, eL13, uL13
Smp_003440.1	Band 7 domain	membrane microdomain organization, MEMBRANE PROTEIN
Smp_003600.1	DM9 repeat	Natterin-3
Smp_003610.1	DM9 repeat	Natterin-3
Smp_003620.1	Septin	CELL DIVISION CONTROL PROTEIN 11
Smp_003630.1	Matrin/U1-C, C2H2-type zinc finger	U5 small nuclear ribonucleoprotein 200
Smp_003660.1	Helicase, C-terminal	ATP-dependent RNA helicase SUB2 (E.C.3.6.4.13)
Smp_003670.1	Phosphatidylinositol N-acetylglucosaminyltransferase subunit H	PIG-H 
Smp_003670.2	NA	COX4_pro 
Smp_003700.1	Ribosomal protein S18	28S ribosomal protein S2, mitochondrial
Smp_003710.1	Tropomodulin	Actin-5C, Leiomodin-2
Smp_003770.1	Linker histone H1/H5, domain H15	Histone H5, globular domain {Chicken (Gallus gallus) [TaxId: 9031]}
Smp_003860.1	NA	NA
Smp_003900.1	T-box transcription factor	T domain from Brachyury transcription factor {African clawed frog (Xenopus laevis) [TaxId: 8355]}
Smp_003930.1	Tetratricopeptide-like helical domain superfamily	O-GlcNAc transferase p110 subunit, OGT {Human (Homo sapiens) [TaxId: 9606]}
Smp_003940.1	S-adenosyl-L-methionine-dependent methyltransferase superfamily	Dimethyladenosine transferase, putative
Smp_003970.1	Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain	Guanine nucleotide exchange factor (GEF) domain from elongation factor-1 beta {Human (Homo sapiens) [TaxId: 9606]}
Smp_003980.1	Cysteine peptidase, cysteine active site	cysteine protease, inhibitor, Cell membrane
Smp_003990.1	Triosephosphate isomerase	Triosephosphate isomerase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_004000.1	Translation initiation factor 1A (eIF-1A)	40S ribosomal protein SA, 40S
Smp_004060.1	WD40 repeat	ANAPHASE-PROMOTING COMPLEX SUBUNIT 1, ANAPHASE-PROMOTING
Smp_004070.1	Carbonic anhydrase	beta-carbonic anhydrase {Pea (Pisum sativum) [TaxId: 3888]}
Smp_004080.1	Mitochondrial carrier UCP-like	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_004160.1	Cilia- and flagella-associated protein 77	CFAP77 
Smp_004170.1	Thioredoxin domain	Thioredoxin {Escherichia coli [TaxId: 562]}
Smp_004190.1	Amino acid/polyamine transporter I	Amino acid transporter, MgtS
Smp_004200.1	PPPDE peptidase domain	PPPDE PEPTIDASE DOMAIN-CONTAINING PROTEIN 2
Smp_004220.1	Amidase, conserved site	Fatty-acid amide hydrolase 1 (E.C.3.5.1.99)
Smp_004260.1	E2F-associated phosphoprotein	Eapp_C 
Smp_004310.1	V-ATPase proteolipid subunit	V-type proton ATPase subunit c'
Smp_004350.1	Ubiquitin-conjugating enzyme E2	Ubiquitin conjugating enzyme, UBC {Human (Homo sapiens), E2 L6 [TaxId: 9606]}
Smp_004360.1	Coiled-coil domain-containing protein 124/Oxs1	60S ribosomal protein L8, 60S
Smp_004420.1	NA	Uncharacterized protein YetJ
Smp_004440.1	NA	PC-Esterase 
Smp_004470.1	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	Thioredoxin peroxidase 2 (thioredoxin peroxidase B, 2-cys peroxiredoxin) {Human (Homo sapiens) [TaxId: 9606]}
Smp_004480.1	Protein RED, C-terminal	WD40 repeat-containing protein SMU1, Protein
Smp_004480.2	Protein RED, C-terminal	WD40 repeat-containing protein SMU1, Protein
Smp_004550.1	GRIM-19	GRIM-19 
Smp_004590.1	NA	NA
Smp_004600.1	Chaperonin TCP-1, conserved site	T-complex protein 1 subunit theta
Smp_004630.1	Nucleotide-sugar transporter	Nuc_sug_transp 
Smp_004630.2	Nucleotide-sugar transporter	Nuc_sug_transp 
Smp_004640.1	DNA-directed RNA polymerase, RBP11-like dimerisation domain	DNA-directed RNA polymerase I subunit
Smp_004680.1	Interferon-related developmental regulator, C-terminal	80S ribosome
Smp_004690.1	Zinc finger, ZZ-type	Zinc finger ZZ-type-containing protein 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_004690.2	Zinc finger, ZZ-type	Zinc finger ZZ-type-containing protein 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_004710.1	NA	Histone H4 {African clawed frog (Xenopus laevis) [TaxId: 8355]}
Smp_004730.1	Voltage-dependent calcium channel, alpha-1 subunit	Cav2.2, Channels, Calcium Ion-Selective, TRANSPORT
Smp_004780.1	FKBP-type peptidyl-prolyl cis-trans isomerase domain	Peptidyl-prolyl cis-trans isomerase FKBP5 (E.C.5.2.1.8)
Smp_004810.1	Calcineurin-like phosphoesterase domain, ApaH type	Protein phosphatase-1 (PP-1) {Human (Homo sapiens), beta isoform [TaxId: 9606]}
Smp_004820.1	Signal peptidase complex subunit 1	SPC12 
Smp_004910.1	Small GTPase	Rab21 {Human (Homo sapiens) [TaxId: 9606]}
Smp_004940.1	Ribosomal protein L29/L35	Protein Synthesis Inhibitor, Cytosolic Ribosome
Smp_004990.1	Chaperonin TCP-1, conserved site	T-COMPLEX PROTEIN 1 SUBUNIT ALPHA
Smp_005000.1	PH-like domain superfamily	AP-2 complex subunit alpha-2, AP-2
Smp_005010.1	Chitobiosyldiphosphodolichol beta-mannosyltransferase ALG1-like	glycosyl-transferase, GT-B fold, Rossmann fold
Smp_005020.1	Zinc finger, RING-type	Signal transduction protein CBL-C, Epidermal
Smp_005070.1	DnaJ domain	Large T antigen, the N-terminal J domain {Simian virus 40, Sv40 [TaxId: 10633]}
Smp_005070.2	DnaJ domain	Large T antigen, the N-terminal J domain {Simian virus 40, Sv40 [TaxId: 10633]}
Smp_005080.1	SAM-dependent methyltransferase RsmB/NOP2-type	60S ribosomal protein L13-A, 60S
Smp_005140.1	Thrombospondin type-1 (TSP1) repeat	Vitelline membrane outer protein-I (VMO-I) {Hen (Gallus gallus) [TaxId: 9031]}
Smp_005160.1	Zinc finger, CCCH-type	Muscleblind-like protein 2
Smp_005160.2	Zinc finger, CCCH-type	Muscleblind-like protein 2
Smp_005180.1	Translational (tr)-type GTP-binding domain	uL2, uL3, uL4, 60S ribosomal
Smp_005190.1	Protein kinase domain	STE20-like serine/threonine-protein kinase, SLK {Human (Homo sapiens) [TaxId: 9606]}
Smp_005190.2	Protein kinase domain	STE20-like serine/threonine-protein kinase, SLK {Human (Homo sapiens) [TaxId: 9606]}
Smp_005190.3	Protein kinase domain	STE20-like serine/threonine-protein kinase, SLK {Human (Homo sapiens) [TaxId: 9606]}
Smp_005210.1	Histone deacetylase family	METASTASIS-ASSOCIATED PROTEIN MTA1, HISTONE DEACETYLASE
Smp_005230.1	EF-hand domain	Calcium-dependent protein kinase sk5 CLD {Soybean (Glycine max) [TaxId: 3847]}
Smp_005260.1	RNA recognition motif domain	RRM domain  RBD domain.
Smp_005260.2	RNA recognition motif domain	RRM domain  RBD domain.
Smp_005280.1	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase 14 {Human (Homo sapiens) [TaxId: 9606]}
Smp_005290.1	Cytochrome c1	CYTOCHROME B-C1 COMPLEX SUBUNIT 1
Smp_005320.1	NA	CCSMST1 
Smp_005330.1	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	Methionyl-tRNA synthetase (E.C.6.1.1.10)
Smp_005390.1	TPP-binding enzyme, conserved site	Benzoylformate decarboxylase (E.C.4.1.1.7)
Smp_005470.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_005500.1	Ricin B, lectin domain	N-acetylgalactosaminyltransferase 7 (E.C.2.4.1.-)
Smp_005520.1	Zinc finger C2H2-type	Cohesin subunit SA-2, Double-strand-break repair
Smp_005640.1	PAP/25A-associated	Speckle targeted PIP5K1A-regulated poly(A) polymerase
Smp_005670.1	Small GTPase	Rab30 {Human (Homo sapiens) [TaxId: 9606]}
Smp_005720.1	Major intrinsic protein	Glycerol uptake facilitator protein GlpF {Escherichia coli [TaxId: 562]}
Smp_005780.1	NA	NA
Smp_005790.1	G-protein alpha subunit, group Q	G-protein alpha subunit Galpha7
Smp_005880.1	Phosphoenolpyruvate carboxykinase, GTP-utilising	Cytosolic phosphoenolpyruvate carboxykinase (GTP-hydrolyzing) {Human (Homo sapiens) [TaxId: 9606]}
Smp_005900.1	WW domain	Ubiquitin ligase NEDD4 WWIII domain {fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_005910.1	Tyrosine-specific protein phosphatases domain	Protein tyrosine phosphatase type IVa {Human (Homo sapiens), pr-1 [TaxId: 9606]}
Smp_005960.1	NA	Capsid protein VP1, Capsid protein
Smp_006000.1	WD40 repeat	Eukaryotic translation initiation factor 2
Smp_006060.1	NA	DUF4773 
Smp_006190.1	NUDIX hydrolase domain	mRNA-decapping enzyme subunit 1, Proline-rich
Smp_006195.1	NA	Tubulin gamma-1 chain, Gamma-tubulin complex
Smp_006250.1	Sterile alpha motif domain	MBT repeat, Polycomb, Sex Comb
Smp_006320.1	K Homology domain	KH domain-containing, RNA-binding, signal transduction-associated
Smp_006320.2	K Homology domain	KH domain-containing, RNA-binding, signal transduction-associated
Smp_006340.1	TMEM85/ER membrane protein complex subunit 4	ER membrane protein complex subunit
Smp_006350.1	Armadillo-like helical	Ecm29 
Smp_006390.1	Cystatin domain	Cystatin A (stefin A) {Human (Homo sapiens) [TaxId: 9606]}
Smp_006440.1	RNA recognition motif domain	U4/U6 snRNA-associated-splicing factor PRP24
Smp_006550.1	Glutaredoxin	Thioredoxin-like protein 2 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_006560.1	Rhodanese-like domain	Rhodanese {Cow (Bos taurus) [TaxId: 9913]}
Smp_006590.1	Zinc finger, HIT-type	PROTEIN SHQ1
Smp_006630.1	DNA polymerase V/Myb-binding protein 1A	DNA_pol_phi 
Smp_006680.1	Programmed cell death protein 10	Programmed cell death protein 10
Smp_006690.1	DnaJ domain	Pre-mRNA-splicing factor 8, Pre-mRNA-splicing factor
Smp_006700.1	WD40 repeat	F-box/WD-repeat protein 1 (beta-TRCP1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_006710.1	Helix-hairpin-helix motif	Thymine-DNA glycosylase {Archaeon Methanobacterium thermoformicicum [TaxId: 145262]}
Smp_006720.1	Synaptobrevin-like	Synaptobrevin 
Smp_006730.1	Frag1/DRAM/Sfk1	Frag1 
Smp_006750.1	Frag1/DRAM/Sfk1	Frag1 
Smp_006760.1	Frag1/DRAM/Sfk1	Frag1 
Smp_006780.1	GNAT domain	Human MAK3 homolog
Smp_006810.1	Zinc finger, LIM-type	b-tandem zipper, LIM domain, fusion
Smp_006830.1	SWIB/MDM2 domain	SWI/SNF related regulator of chromatin (BRG1-associated factor 60a) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_006840.1	Transmembrane protein 42	Mg_trans_NIPA 
Smp_006850.1	RNA polymerase, Rpb8	RNA polymerase subunit RBP8 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_006860.1	PDZ domain	Zasp (Cypher, Oracle 1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_006920.1	Protein kinase domain	SRC in complex
Smp_006930.1	Glycosyl transferase, family 31	C1GALT1-specific chaperone 1
Smp_007000.1	GINS complex, subunit Psf1	DNA replication complex GINS protein PSF1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007070.1	G protein-coupled receptor, rhodopsin-like	Muscarinic acetylcholine receptor M2,Apo-cytochrome b562
Smp_007170.1	Armadillo-like helical	Mo25 protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_007180.1	CID domain	Regulation of nuclear pre-mRNA domain-containing
Smp_007180.2	SWAP/Surp	Splicing factor 4 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_007190.1	Lariat debranching enzyme, C-terminal	RNA lariat debranching enzyme, putative
Smp_007210.1	Rab-GTPase-TBC domain	Rab GTPase-activating protein 1
Smp_007260.1	P-type ATPase	SARCOPLASMIC/ENDOPLASMIC RETICULUM CALCIUM ATPASE 1
Smp_007270.1	Calponin homology domain	Actin binding domain of plectin {Human (Homo sapiens) [TaxId: 9606]}
Smp_007290.1	Carbohydrate deacetylase YdjC-like	Uncharacterized protein EF3048 {Enterococcus faecalis [TaxId: 1351]}
Smp_007300.1	NA	CHCH 
Smp_007330.1	NA	NA
Smp_007380.1	STEEP-like	Putative uncharacterized protein
Smp_007450.1	Rhodanese-like domain	Thiosulfate sulfurtransferase/Senescence-associated protein {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_007450.2	Rhodanese-like domain	Thiosulfate sulfurtransferase/Senescence-associated protein {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_007500.1	Golgi phosphoprotein 3-like	Sac1, Vps74
Smp_007510.1	Protein kinase domain	Cell division protein kinase 7, CDK7 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007540.1	Nucleic acid-binding, OB-fold	Exosome component 1, EXOSC1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007550.1	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	Leukotriene A-4 hydrolase (E.C.3.3.2.6)
Smp_007570.1	NA	NA
Smp_007630.1	RNA recognition motif domain	RNA binding protein 23 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007630.2	RNA recognition motif domain	RNA binding protein 23 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007650.1	Six-hairpin glycosidase superfamily	Glycogen Debranching Enzyme, SUGAR BINDING
Smp_007660.1	Zinc finger, TFIIS-type	RNA polymerase II (E.C.2.7.7.6)/Transcription elongation
Smp_007660.2	Zinc finger, TFIIS-type	RNA polymerase II (E.C.2.7.7.6)/Transcription elongation
Smp_007670.1	Ankyrin repeat	Ankyrin-R {Human (Homo sapiens) [TaxId: 9606]}
Smp_007690.1	Aromatic amino acid hydroxylase	Tyrosine hydroxylase {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_007710.1	Armadillo-type fold	Serine/threonine-protein kinase mTOR (E.C.2.7.11.1), Target
Smp_007730.1	ER lumen protein retaining receptor	protein A, maltose-binding protein, Fab
Smp_007760.1	Aminotransferase, class I/classII	Alanine aminotransferase 2 (E.C.2.6.1.2)
Smp_007890.1	RNA polymerase subunit Rpb4/RPC9	DNA-directed RNA polymerase III subunit
Smp_007900.1	Ribosomal protein L14P	Ribosomal protein L14 {Archaeon Haloarcula marismortui [TaxId: 2238]}
Smp_007960.1	Glyoxalase/fosfomycin resistance/dioxygenase domain	4-hydroxyphenylpyruvate dioxygenase, HppD {Streptomyces avermitilis [TaxId: 33903]}
