#Transcript_ID	GFF_annotation	HHsearch_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169,3.2.1.-)
Smp_000190.1	Short-chain dehydrogenase/reductase SDR	17-beta-hydroxysteroid dehydrogenase type XI {Human (Homo sapiens) [TaxId: 9606]}
Smp_000200.1	Smr domain	Polynucleotide kinase, kinase domain {Bacteriophage T4 [TaxId: 10665]}
Smp_000230.1	Zinc finger C2H2-type	LYSINE-SPECIFIC HISTONE DEMETHYLASE 1A (E.C.1.-.-.-)
Smp_000240.1	RNA recognition motif domain	Transportin-1, RNA-binding protein FUS
Smp_000250.1	NA	tRNA modification GTPase trmE
Smp_000260.1	Saposin A-type domain	(Pro)phytepsin {Barley (Hordeum vulgare) [TaxId: 4513]}
Smp_000270.1	Trematode Eggshell Synthesis	TES 
Smp_000280.1	Trematode Eggshell Synthesis	TES 
Smp_000300.1	Tetratricopeptide-like helical domain superfamily	Coatomer subunit alpha, Coatomer subunit
Smp_000300.2	WD40 repeat	Coatomer subunit alpha, Coatomer subunit
Smp_000310.1	NA	PRA1 
Smp_000310.2	SNARE associated Golgi protein	SNARE_assoc 
Smp_000310.3	SNARE associated Golgi protein	SNARE_assoc 
Smp_000320.1	NDRG	Protein NDRG3
Smp_000340.1	Nuclear hormone receptor, ligand-binding domain	Retinoic acid receptor RXR-alpha, Retinoic
Smp_000370.1	Selenoprotein SelK/SelG	SelK_SelG 
Smp_000390.1	Trematode Eggshell Synthesis	TES 
Smp_000420.1	NA	NA
Smp_000430.1	Trematode Eggshell Synthesis	TES 
Smp_000470.1	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	Hypothetical protein TM0922, C-terminal domain {Thermotoga maritima [TaxId: 2336]}
Smp_000470.2	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	Hypothetical protein TM0922, C-terminal domain {Thermotoga maritima [TaxId: 2336]}
Smp_000470.3	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	Hypothetical protein TM0922, C-terminal domain {Thermotoga maritima [TaxId: 2336]}
Smp_000480.1	Proteasome component (PCI) domain	40S ribosomal protein SA, 40S
Smp_000480.2	Proteasome component (PCI) domain	40S ribosomal protein SA, 40S
Smp_000500.1	NA	NA
Smp_000510.1	Hexapeptide repeat	Glucose-1-phosphate adenylyltransferase (E.C.2.7.7.27)
Smp_000560.1	NA	NA
Smp_000580.1	NA	Tubulin beta, Tubulin alpha, PACRG
Smp_000590.1	28S ribosomal protein S26	MITORIBOSOMAL PROTEIN US2M, MRPS2, MITORIBOSOMAL
Smp_000600.1	WD40 repeat	Rsa4
Smp_000600.2	WD40 repeat	Rsa4
Smp_000620.1	Myc-type, basic helix-loop-helix (bHLH) domain	DNA-binding protein inhibitor ID-1
Smp_000630.1	Isochorismatase-like	Ribonuclease MAR1 {Leishmania donovani [TaxId: 5661]}
Smp_000640.1	SH2 domain	v-crk sarcoma virus CT10 oncogene
Smp_000650.1	Zinc finger, RING-type	SIAH, seven in absentia homolog {Mouse (Mus musculus) [TaxId: 10090]}
Smp_000650.2	E3 ubiquitin-protein ligase SINA-like	SIAH, seven in absentia homolog {Mouse (Mus musculus) [TaxId: 10090]}
Smp_000650.3	Zinc finger, RING-type	SIAH, seven in absentia homolog {Mouse (Mus musculus) [TaxId: 10090]}
Smp_000660.1	Aminotransferase class-III	Ornithine aminotransferase {Human (Homo sapiens) [TaxId: 9606]}
Smp_000670.1	Arf GTPase activating protein	ARFGAP with coiled-coil, ANK repeat
Smp_000680.1	Mitochondrial substrate/solute carrier	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_000690.1	POU-specific domain	Oct-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_000700.1	SET domain	Smyd3 methyltransferase
Smp_000710.1	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase 7 (USP7, HAUSP) {Human (Homo sapiens) [TaxId: 9606]}
Smp_000720.1	Protein kinase domain	Dual specificity mitogen-activated protein kinase kinase 1, Mek1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_000740.1	von Willebrand factor, type A	26S proteasome
Smp_000755.1	Peptidase M13	Neutral endopeptidase (neprilysin) {Human (Homo sapiens) [TaxId: 9606]}
Smp_000770.1	NA	NA
Smp_000790.1	Zinc finger, LIM-type	LIM domain-binding protein 1, LIM/homeobox
Smp_000790.2	Zinc finger, LIM-type	LIM domain-binding protein 1, LIM/homeobox
Smp_000810.1	TatD family	Hypothetical protein TM0667 {Thermotoga maritima [TaxId: 2336]}
Smp_000820.1	NA	NA
Smp_000820.2	NA	NA
Smp_000830.1	Homeobox domain	Msx-1 homeodomain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_000850.1	DnaJ domain	DnaJ chaperone, N-terminal (J) domain {Escherichia coli [TaxId: 562]}
Smp_000870.1	FYVE zinc finger	FYVE, RhoGEF and PH domain-containing
Smp_000870.2	FYVE zinc finger	FYVE, RhoGEF and PH domain-containing
Smp_000870.3	Dbl homology (DH) domain	FYVE, RhoGEF and PH domain-containing
Smp_000870.4	Dbl homology (DH) domain	FYVE, RhoGEF and PH domain-containing
Smp_000880.1	ATP synthase, F0 complex, subunit C	ASA-10: Polytomella F-ATP synthase associated
Smp_000900.1	G protein-coupled receptor, rhodopsin-like	Lysozyme C (E.C.3.2.1.17)
Smp_000910.1	Cancer susceptibility candidate protein 1	Casc1_N 
Smp_000950.1	Protein 21-like 2	Protein mab-21-like 1
Smp_000980.1	High mobility group box domain	PROTEIN/DNA Complex
Smp_000990.1	Exocyst complex component Sec3, C-terminal	Sec3_C 
Smp_001000.1	Universal stress protein A family	Putative ethylene-responsive protein AT3g01520/F4P13_7 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_001020.1	Helix-hairpin-helix motif	A/G-specific adenine DNA glycosylase (E.C.3.2.2.-)
Smp_001030.1	CBS domain	5'-AMP-ACTIVATED PROTEIN KINASE CATALYTIC SUBUNIT
Smp_001040.1	Kinesin motor domain	Kinesin {Neurospora crassa [TaxId: 5141]}
Smp_001070.1	G protein-coupled receptor, rhodopsin-like	Endothelin receptor type B,Endolysin,Endothelin receptor
Smp_001080.1	NA	cAMP-dependent protein kinase type II-alpha
Smp_001090.1	Nuclear pore protein 84/107	NUCLEOPORIN NUP43, NUCLEAR PORE COMPLEX
Smp_001095.1	UBA-like superfamily	Tudor domain-containing protein 3
Smp_001095.2	UBA-like superfamily	Tudor domain-containing protein 3
Smp_001100.1	EGF-type aspartate/asparagine hydroxylation site	Delta-like ligand 1
Smp_001120.1	Ribosomal protein L50, mitochondria	39S ribosomal protein L2, mitochondrial
Smp_001160.1	WD40 repeat	beta1-subunit of the signal-transducing G protein heterotrimer {Cow (Bos taurus) [TaxId: 9913]}
Smp_001170.1	Proteasome component (PCI) domain	40S ribosomal protein SA, 40S
Smp_001170.2	Proteasome component (PCI) domain	40S ribosomal protein SA, 40S
Smp_001180.1	SNF2-related, N-terminal domain	DNA-directed RNA polymerase II subunit
Smp_001210.1	Myosin head, motor domain	Myosin S1, motor domain {Chicken (Gallus gallus), pectoral muscle [TaxId: 9031]}
Smp_001210.2	Myosin head, motor domain	Myosin S1, motor domain {Bay scallop (Aequipecten irradians) [TaxId: 31199]}
Smp_001360.1	Thymidylate kinase	Thymidylate kinase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_001390.1	Nck-associated protein 1	Nckap1 
Smp_001410.1	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	GLYOXALASE DOMAIN-CONTAINING PROTEIN 4
Smp_001420.1	Rab-GTPase-TBC domain	RabGAP/TBC protein
Smp_001420.2	Rab-GTPase-TBC domain	Ypt/Rab-GAP domain of gyp1p {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_001500.1	Translation Initiation factor eIF- 4e	Eukaryotic Translation Initiation Factor 4E
Smp_001530.1	Pleckstrin homology domain	Exocyst complex component SEC3, Exocyst
Smp_001560.1	Zinc finger, RING-type	EL5 RING-H2 domain {Rice (Oryza sativa) [TaxId: 4530]}
Smp_001590.1	NDUFAF3/Mth938 domain-containing protein	Hypothetical protein RPA2829 {Rhodopseudomonas palustris [TaxId: 1076]}
Smp_001610.1	Radial spokehead-like protein	Radial_spoke 
Smp_001640.1	Vacuolar (H )-ATPase G subunit	V-type proton ATPase subunit a
Smp_001780.1	Major facilitator superfamily associated domain	Lactose permease {Escherichia coli [TaxId: 562]}
Smp_001780.2	Major facilitator superfamily associated domain	MFS_2 
Smp_001780.3	Major facilitator superfamily associated domain	MFS_2 
Smp_001830.1	Ribosomal protein L24e-related	Ribosome
Smp_001830.2	Ribosomal protein L24e-related	Ribosome
Smp_001890.1	Cysteine-rich  secretory protein-related	Cysteine-rich secretory protein (SteCRISP) {Chinese green tree viper (Trimeresurus stejnegeri) [TaxId: 39682]}
Smp_001900.1	Immunoglobulin subtype 2	Titin
Smp_001940.1	DREV methyltransferase	DREV 
Smp_001940.2	DREV methyltransferase	DREV 
Smp_001950.1	NA	Claudin-9, Heat-labile enterotoxin B chain
Smp_001960.1	Ribosomal protein L1, 3-layer alpha/beta-sandwich	Ribosomal protein L1 {Thermus thermophilus [TaxId: 274]}
Smp_001960.2	Ribosomal protein L1, 3-layer alpha/beta-sandwich	Ribosomal protein L1 {Thermus thermophilus [TaxId: 274]}
Smp_001980.1	Homeobox domain	Homeotic bicoid protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_002010.1	Ribosomal biogenesis, methyltransferase, EMG1/NEP1	Essential for mitotic growth 1, EMG1 {Saccharomyces cerevisiae [TaxId: 4932]}
Smp_002060.1	Cysteine-rich  secretory protein-related	Insect allergen 5 (AG5) {Yellow jacket (Vespula vulgaris), Ves v 5 [TaxId: 7454]}
Smp_002070.1	Cysteine-rich  secretory protein-related	Insect allergen 5 (AG5) {Yellow jacket (Vespula vulgaris), Ves v 5 [TaxId: 7454]}
Smp_002080.1	S-adenosylmethionine synthetase	S-adenosylmethionine synthase (E.C.2.5.1.6)
Smp_002100.1	Vesicle transport protein, Got1/SFT2-like	Got1 
Smp_002160.1	DNA methyltransferase 1-associated 1	DMAP1 
Smp_002180.1	Nascent polypeptide-associated complex NAC domain	Ribosomal protein L8, uL3, uL4
Smp_002230.1	Pre-rRNA-processing protein Esf1	PROTEIN/RNA Complex
Smp_002280.1	Kinesin motor domain	Kinesin-like protein KIF2C
Smp_002380.1	Ubiquitin domain	hypothetical D7wsu128e protein {Mouse (Mus musculus) [TaxId: 10090]}
Smp_002410.1	14-3-3 protein	zeta isoform {Cow (Bos taurus) [TaxId: 9913]}
Smp_002510.1	Transketolase-like, pyrimidine-binding domain	Pyruvate dehydrogenase E1-beta, PdhB, N-terminal domain {Bacillus stearothermophilus [TaxId: 1422]}
Smp_002550.1	RNA recognition motif domain	RNA-binding protein 8 {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_002600.1	Peptidase S28	Lysosomal Pro-X carboxypeptidase (E.C.3.4.16.2)
Smp_002600.2	Peptidase S28	Lysosomal Pro-X carboxypeptidase (E.C.3.4.16.2)
Smp_002630.1	Cysteine-rich  secretory protein-related	Insect allergen 5 (AG5) {Yellow jacket (Vespula vulgaris), Ves v 5 [TaxId: 7454]}
Smp_002640.1	Homeobox domain	Antennapedia Homeodomain {Drosophila melanogaster [TaxId: 7227]}
Smp_002740.1	NA	Arylsulfatase B (4-sulfatase) {Human (Homo sapiens) [TaxId: 9606]}
Smp_002820.1	Zinc finger, CCCH-type	Zinc finger CCCH domain-containing protein C19orf7 (KIAA1064) {Human (Homo sapiens) [TaxId: 9606]}
Smp_002840.1	Uncharacterised protein family UPF0489	UPF0489 
Smp_002840.2	Uncharacterised protein family UPF0489	UPF0489 
Smp_002840.3	Uncharacterised protein family UPF0489	UPF0489 
Smp_002860.1	NA	NA
Smp_002870.1	TMEM115/Pdh1/Rbl19	DER1 
Smp_002880.1	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	ATP synthase alpha chain, mitochondrial
Smp_002920.1	TRAM/LAG1/CLN8 homology domain	TRAM_LAG1_CLN8 
Smp_002950.1	SSNA1 family	Nup88 
Smp_003000.1	Protein kinase domain	Cell division protein kinase 9, CDK9 {Human (Homo sapiens) [TaxId: 9606]}
Smp_003130.1	Nucleoside diphosphate pyrophosphatase	ADP-ribose pyrophosphatase homologue YffH {Escherichia coli [TaxId: 562]}
Smp_003140.1	Phox homologous domain	Vacuolar protein sorting-associated protein 26-like
Smp_003140.2	Phox homologous domain	Vacuolar protein sorting-associated protein 26-like
Smp_003190.1	Ankyrin repeat	Myotrophin {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_003230.1	BAR domain	Endophilin-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_003230.2	BAR domain	Endophilin-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_003250.1	NA	NADH dehydrogenase [ubiquinone] flavoprotein 1
Smp_003250.2	NA	NDUF_B7 
Smp_003270.1	Ubiquitin-like domain superfamily	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_003280.1	Homeobox domain	LIM domain-binding protein 1, LIM/homeobox
Smp_003300.1	Serpin family	Antithrombin {Human (Homo sapiens) [TaxId: 9606]}
Smp_003330.1	SSNA1 family	NA
Smp_003340.1	Quinoprotein alcohol dehydrogenase-like superfamily	ER membrane protein complex subunit
Smp_003410.1	Ribosomal protein L23/L25, N-terminal	60S ribosomal protein L8, 60S
Smp_003410.2	Ribosomal protein L23/L25, N-terminal	60S ribosomal protein L8, 60S
Smp_003440.1	Band 7 domain	PH stomatin
Smp_003600.1	DM9 repeat	Natterin-3
Smp_003610.1	DM9 repeat	Natterin-3
Smp_003620.1	Septin	Neuronal-specific septin-3
Smp_003620.2	Septin	Neuronal-specific septin-3
Smp_003630.1	Matrin/U1-C, C2H2-type zinc finger	U5 small nuclear ribonucleoprotein 200
Smp_003660.1	Helicase, C-terminal	ATP-dependent RNA helicase SUB2 (E.C.3.6.4.13)
Smp_003660.2	DEAD/DEAH box helicase domain	Spliceosome RNA helicase BAT1 (UAP56) {Human (Homo sapiens) [TaxId: 9606]}
Smp_003670.1	GPI-GlcNAc transferase complex, PIG-H component, conserved domain	PIG-H 
Smp_003700.1	Ribosomal protein S18	Mitochondrial ribosomal protein L27, Mitochondrial
Smp_003710.1	Tropomodulin	Actin-5C, Leiomodin-2
Smp_003760.1	NA	NA
Smp_003760.2	NA	NA
Smp_003770.1	Linker histone H1/H5, domain H15	Histone H5, globular domain {Chicken (Gallus gallus) [TaxId: 9031]}
Smp_003860.1	NA	NA
Smp_003900.1	Transcription factor, T-box	T domain from Brachyury transcription factor {African clawed frog (Xenopus laevis) [TaxId: 8355]}
Smp_003930.1	Tetratricopeptide-like helical domain superfamily	FLAGELLAR ASSOCIATED PROTEIN, INTRAFLAGELLAR TRANSPORT
Smp_003940.1	S-adenosyl-L-methionine-dependent methyltransferase	Hypothetical protein BH2331 {Bacillus halodurans [TaxId: 86665]}
Smp_003940.2	S-adenosyl-L-methionine-dependent methyltransferase	Hypothetical protein BH2331 {Bacillus halodurans [TaxId: 86665]}
Smp_003940.3	S-adenosyl-L-methionine-dependent methyltransferase	AdoMet_MTase 
Smp_003970.1	Protein of unknown function DUF1515	Guanine nucleotide exchange factor (GEF) domain from elongation factor-1 beta {Human (Homo sapiens) [TaxId: 9606]}
Smp_003980.1	Cysteine peptidase, cysteine active site	M-CALPAIN LARGE AND SMALL SUBUNITS
Smp_003990.1	Triosephosphate isomerase	Triosephosphate isomerase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_004000.1	Translation initiation factor 1A (eIF-1A)	Putative translation initiation factor eIF-1A
Smp_004000.2	Translation initiation factor 1A (eIF-1A)	30S ribosomal protein S2, 30S
Smp_004060.1	WD40 repeat	Cell division cycle protein 20
Smp_004070.1	Carbonic anhydrase	beta-carbonic anhydrase {Pea (Pisum sativum) [TaxId: 3888]}
Smp_004070.2	Carbonic anhydrase	beta-carbonic anhydrase {Pea (Pisum sativum) [TaxId: 3888]}
Smp_004070.3	Carbonic anhydrase	beta-carbonic anhydrase {Pea (Pisum sativum) [TaxId: 3888]}
Smp_004080.1	Mitochondrial carrier UCP-like	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_004160.1	Cilia- and flagella-associated protein 77	DUF4483 
Smp_004170.1	Thioredoxin domain	Thioredoxin {Escherichia coli [TaxId: 562]}
Smp_004190.1	Amino acid/polyamine transporter I	4F2 cell-surface antigen heavy chain
Smp_004200.1	PPPDE putative peptidase domain	Peptidase_C97 
Smp_004220.1	Amidase, conserved site	Fatty-acid amide hydrolase 1 (E.C.3.5.1.99)
Smp_004260.1	E2F-associated phosphoprotein	Eapp_C 
Smp_004310.1	V-ATPase proteolipid subunit	V-type proton ATPase catalytic subunit
Smp_004350.1	Ubiquitin-conjugating enzyme E2	Ubiquitin conjugating enzyme, UBC {Human (Homo sapiens), E2 L6 [TaxId: 9606]}
Smp_004360.1	Coiled-coil domain-containing protein 124/Oxs1	60S ribosomal protein L8, 60S
Smp_004420.1	NA	Herpes_LMP1 
Smp_004420.2	NA	Herpes_LMP1 
Smp_004420.3	NA	Herpes_LMP1 
Smp_004420.4	NA	Herpes_LMP1 
Smp_004440.1	NA	PC-Esterase 
Smp_004470.1	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	Thioredoxin peroxidase 2 (thioredoxin peroxidase B, 2-cys peroxiredoxin) {Human (Homo sapiens) [TaxId: 9606]}
Smp_004480.1	Protein RED, C-terminal	WD40 repeat-containing protein SMU1, Protein
Smp_004480.2	Protein RED, C-terminal	WD40 repeat-containing protein SMU1, Protein
Smp_004550.1	GRIM-19	NADH-ubiquinone oxidoreductase chain 3 (E.C.1.6.5.3)
Smp_004590.1	NA	NA
Smp_004600.1	Chaperonin TCP-1, conserved site	T-COMPLEX PROTEIN 1 SUBUNIT ALPHA
Smp_004630.1	Nucleotide-sugar transporter	Nuc_sug_transp 
Smp_004630.2	Nucleotide-sugar transporter	Nuc_sug_transp 
Smp_004640.1	DNA-directed RNA polymerase, RBP11-like dimerisation domain	DNA-DIRECTED RNA POLYMERASES I, II
Smp_004640.2	DNA-directed RNA polymerase, RBP11-like dimerisation domain	DNA-directed RNA polymerase subunit L, RpoL {Thermoplasma acidophilum [TaxId: 2303]}
Smp_004680.1	Interferon-related developmental regulator, C-terminal	80S ribosome
Smp_004690.1	Zinc finger, ZZ-type	Zinc finger ZZ-type-containing protein 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_004690.2	Zinc finger, ZZ-type	Zinc finger ZZ-type-containing protein 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_004710.1	NA	Histone H4 {African clawed frog (Xenopus laevis) [TaxId: 8355]}
Smp_004730.1	Voltage-dependent calcium channel, alpha-1 subunit	Voltage-dependent calcium channel gamma-1 subunit
Smp_004780.1	FKBP-type peptidyl-prolyl cis-trans isomerase domain	Peptidyl-prolyl cis-trans isomerase FKBP5 (E.C.5.2.1.8)
Smp_004810.1	Calcineurin-like phosphoesterase domain, ApaH type	Protein phosphatase-1 (PP-1) {Human (Homo sapiens), beta isoform [TaxId: 9606]}
Smp_004820.1	Microsomal signal peptidase 12kDa subunit	SPC12 
Smp_004910.1	Small GTPase	Rab21 {Human (Homo sapiens) [TaxId: 9606]}
Smp_004940.1	Ribosomal protein L29/L35	Ribosomal protein L8, putative, Uncharacterized
Smp_004980.1	Ribosomal protein L20	28S ribosomal protein S2, mitochondrial
Smp_004990.1	Chaperonin TCP-1, conserved site	T-COMPLEX PROTEIN 1 SUBUNIT ALPHA
Smp_005000.1	PH-like domain superfamily	AP-2 complex subunit alpha-2, AP-2
Smp_005010.1	Chitobiosyldiphosphodolichol beta-mannosyltransferase ALG1-like	Glycogen synthase 1, GlgA {Pyrococcus abyssi [TaxId: 29292]}
Smp_005020.1	Zinc finger, RING-type	E3 ubiquitin-protein ligase CBL (E.C.6.3.2.-)
Smp_005070.1	DnaJ domain	Large T antigen, the N-terminal J domain {Simian virus 40, Sv40 [TaxId: 10633]}
Smp_005070.2	DnaJ domain	Large T antigen, the N-terminal J domain {Simian virus 40, Sv40 [TaxId: 10633]}
Smp_005080.1	SAM-dependent methyltransferase RsmB/NOP2-type	60S ribosomal protein L13-A, 60S
Smp_005080.2	SAM-dependent methyltransferase RsmB/NOP2-type	60S ribosomal protein L13-A, 60S
Smp_005140.1	Thrombospondin type-1 (TSP1) repeat	Vitelline membrane outer protein-I (VMO-I) {Hen (Gallus gallus) [TaxId: 9031]}
Smp_005160.1	Zinc finger, CCCH-type	Muscleblind-like protein 1/RNA Complex
Smp_005160.2	Zinc finger, CCCH-type	Muscleblind-like protein 1/RNA Complex
Smp_005180.1	Transcription factor, GTP-binding domain	uL2, uL3, uL4, 60S ribosomal
Smp_005190.1	Protein kinase domain	STE20-like serine/threonine-protein kinase, SLK {Human (Homo sapiens) [TaxId: 9606]}
Smp_005190.2	Protein kinase domain	STE20-like serine/threonine-protein kinase, SLK {Human (Homo sapiens) [TaxId: 9606]}
Smp_005190.3	Protein kinase domain	STE20-like serine/threonine-protein kinase, SLK {Human (Homo sapiens) [TaxId: 9606]}
Smp_005210.1	Histone deacetylase family	METASTASIS-ASSOCIATED PROTEIN MTA1, HISTONE DEACETYLASE
Smp_005230.1	EF-hand domain	Calcium-dependent protein kinase sk5 CLD {Soybean (Glycine max) [TaxId: 3847]}
Smp_005260.1	RNA recognition motif domain	ARIA_NM_RDCfit_1
Smp_005260.2	RNA recognition motif domain	ARIA_NM_RDCfit_1
Smp_005280.1	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase 14 {Human (Homo sapiens) [TaxId: 9606]}
Smp_005290.1	Cytochrome c1	CYTOCHROME B-C1 COMPLEX SUBUNIT 1
Smp_005320.1	NA	CCSMST1 
Smp_005330.1	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	Methionyl-tRNA synthetase (E.C.6.1.1.10)
Smp_005330.2	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	Methionyl-tRNA synthetase (E.C.6.1.1.10)
Smp_005330.3	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	Methionyl-tRNA synthetase (E.C.6.1.1.10)
Smp_005330.4	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	Methionyl-tRNA synthetase (E.C.6.1.1.10)
Smp_005390.1	TPP-binding enzyme, conserved site	Acetolactate synthase, catabolic, 2-HYDROXYETHYL DIHYDROTHIACHROME
Smp_005470.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_005500.1	Ricin B, lectin domain	Polypeptide N-acetylgalactosaminyltransferase, ASN-THR-PRO-ILE-PRO-ARG-ARG-HIS-THR-ARG-SER-ALA
Smp_005520.1	Zinc finger C2H2-type	Zinc finger protein 568/DNA Complex
Smp_005640.1	PAP/25A-associated	Terminal uridylyltransferase 7/RNA Complex
Smp_005670.1	Small GTPase	Rab30 {Human (Homo sapiens) [TaxId: 9606]}
Smp_005720.1	Major intrinsic protein	Glycerol uptake facilitator protein GlpF {Escherichia coli [TaxId: 562]}
Smp_005780.1	NA	NA
Smp_005790.1	G-protein alpha subunit, group Q	G-protein alpha subunit Galpha7
Smp_005790.2	G-protein alpha subunit, group Q	G-protein alpha subunit Galpha7
Smp_005880.1	Phosphoenolpyruvate carboxykinase, GTP-utilising	Phosphoenolpyruvate carboxykinase (E.C.4.1.1.32)
Smp_005900.1	WW domain	Ubiquitin ligase NEDD4 WWIII domain {fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_005910.1	Dual specificity phosphatase, catalytic domain	Protein tyrosine phosphatase type IVa {Human (Homo sapiens), pr-1 [TaxId: 9606]}
Smp_005960.1	NA	DUF4448 
Smp_006000.1	WD40 repeat	Eukaryotic translation initiation factor 2
Smp_006060.1	NA	DUF4773 
Smp_006190.1	NUDIX hydrolase domain	KLLA0F23980p, KLLA0A11308p, KLLA0E01827p, KLLA0A01474p
Smp_006190.2	NUDIX hydrolase domain	KLLA0F23980p, KLLA0A11308p, KLLA0E01827p, KLLA0A01474p
Smp_006250.1	Mbt repeat	Polycomb protein Scm
Smp_006250.2	Mbt repeat	Polycomb protein Scm
Smp_006320.1	K Homology domain	KH domain-containing, RNA-binding, signal transduction-associated
Smp_006340.1	TMEM85/ER membrane protein complex subunit 4	ER membrane protein complex subunit
Smp_006340.2	TMEM85/ER membrane protein complex subunit 4	ER membrane protein complex subunit
Smp_006350.1	Armadillo-like helical	Ecm29 
Smp_006390.1	Cystatin domain	Cystatin A (stefin A) {Human (Homo sapiens) [TaxId: 9606]}
Smp_006440.1	RNA recognition motif domain	Lsm2-8 spliceosome U6 Prp24
Smp_006550.1	Glutaredoxin	Thioredoxin-like protein 2 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_006560.1	Rhodanese-like domain	Rhodanese {Cow (Bos taurus) [TaxId: 9913]}
Smp_006590.1	Zinc finger, HIT-type	Zinc finger HIT domain containing protein 2,  ZNHIT2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_006590.2	Zinc finger, HIT-type	Zinc finger HIT domain containing protein 2,  ZNHIT2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_006590.3	Zinc finger, HIT-type	Zinc finger HIT domain containing protein 2,  ZNHIT2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_006630.1	DNA polymerase V/Myb-binding protein 1A	DNA_pol_phi 
Smp_006630.2	DNA polymerase V/Myb-binding protein 1A	DNA_pol_phi 
